MSFT,TSLA,FB,NVDA,JPM,JNJ,HD,UNH,BAC,PG,V,MA,ADBE,PFE,NFLX,DIS,CSCO,ORCL,CRM,KO,COST,TMO,ACN,ABT,PEP,CVX,DHR,LLY,PYPL,ABBV,CMCSA,INTC,NKE,VZ,QCOM,WFC,MCD,INTU,MRK,TXN,LIN,MS,AMD,NEE,T,LOW,C,HON,UNP,SCHW,MDT,PM,UPS,AMAT,BLK,GS,SBUX,AXP,FDX,BMY,CVS,IBM,AMT,AMGN,ISRG,PLD,MRNA,TGT,CAT,GM,LRCX,MMM,ADI,ADP,COP,F,LMT,MU,SYK,EL,GILD,MMC,MDLZ,PNC,XOM,BA,CME,CI,CCI,CSX,BDX,CL,FIS,ATVI,AON,USB,CB,FISV,COF,FCX
MSQ$0721280C,TSL$0519200C,FB$0421400C,UVA$1020845C,JPM$0721105C,JNJ$0420147C,HD$1020170C,CAH$021957.5C,BAC$092150C,PCG$03206C,V$1221320C,MA$0721370C,AEQ$1021975C,PFE$041927C,NFL$1020480C,DIS$1020115C,CYQ$092145C,ORQ$092190C,CRM$0721210C,KO$012152C,PRQ$0819235C,TMO$1221680C,ACN$0420255C,ABT$1221140C,PEP$0420110C,CVX$0420150C,DH1$0921290C,LLY$0420124C,PYP$0721340C,ABB$1221127C,CCQ$101952C,INQ$022157C,NKE$042078C,VZ$122059C,QAQ$102035C,WFC$011955C,MCD$012085C,IQU$1119277.5C,MRK$072072.5C,TXN$042093C,PX$0519220C,MS$012032C,AMD$072155C,FPL$062170C,T$012036.0C,LOW$042099C,C$072160.0C,HN3$0319149C,UNP$1221275C,SHQ$092039C,MD1$042091C,PM$012098C,UPS$0721270C,ANQ$102055.5C,BLK$0421720C,GS$0721330C,SQX$122165C,AXP$0420170C,FDX$1020340C,BMY$051944C,CVS$051959C,IBM$0721146C,AMT$1221380C,AMQ$0420290C,AXQ$1020705C,PLD$062090C,MOD$0321120C,TGT$042097C,CAT$1020140C,GMU$051941C,LMQ$0421300C,MMM$0720100C,ADI$042097C,AD1$1221235C,COP$072034C,F$092116.0C,LMT$0819370C,MU$042037C,SDQ$0921390C,EL$0921210C,GDQ$051957C,MMC$0221145C,KFT$011920C,PNC$0619139C,XOM$072057C,BA$1021360C,CME$0720130C,CI$0819144C,CCI$051985C,CSX$072146.67C,BDX$0419175C,CL$092180C,FIS$011995C,AQV$0519100C,AOC$0419125C,USB$011948C,ACE$0621105C,FQV$0921175C,COF$1221180C,FCX$032121C
MSQ$0721285C,TSL$0519205C,FB$0421405C,UVA$1020850C,JPM$0721110C,JNJ$0420148C,HD$1020175C,CAH$021958.5C,BAC$092155C,PCG$03207C,V$1221330C,MA$0721375C,AEQ$1021980C,PFE$041928C,NFL$1020485C,DIS$1020116C,CYQ$092146C,ORQ$092191C,CRM$0721215C,KO$012153C,PRQ$0819240C,TMO$1221690C,ACN$0420260C,ABT$1221141C,PEP$0420111C,CVX$0420155C,DH1$0921300C,LLY$0420125C,PYP$0721345C,ABB$1221128C,CCQ$101953C,INQ$022158C,NKE$042079C,VZ$122060C,QAQ$102040C,WFC$011956C,MCD$012090C,IQU$1119287.5C,MRK$072073C,TXN$042094C,PX$0519230C,MS$012033C,AMD$072160C,FPL$062175C,T$012036.5C,LOW$1221105C,C$072161.0C,HN3$0319150C,UNP$1221280C,SHQ$092040C,MD1$042092C,PM$012099C,UPS$0721280C,ANQ$102064.5C,BLK$0421725C,GS$0721335C,SQX$122170C,AXP$042040C,FDX$1020350C,BMY$051945C,CVS$051960C,IBM$0721147C,AMT$1221390C,AMQ$0420295C,AXQ$1020710C,PLD$062095C,MOD$0321121C,TGT$042098C,CAT$1020141C,GMU$051942C,LMQ$0421305C,MMM$0720105C,ADI$042098C,AD1$1221240C,COP$072035C,F$092116.5C,LMT$0819375C,MU$042038C,SDQ$0419140C,EL$0921220C,GDQ$051958C,MMC$0221150C,KFT$011923C,PNC$0619141C,XOM$072060C,BA$1021370C,CME$0720135C,CI$0819145C,CCI$051990C,CSX$072148.33C,BDX$0419180C,CL$092181C,FIS$0621100C,AQV$0519105C,AOC$0419130C,USB$011949C,ACE$0621110C,FQV$0921180C,COF$1221185C,FCX$032122C
MSQ$0721290C,TSL$0519210C,FB$0421410C,UVA$1020855C,JPM$0721115C,JNJ$0420149C,HD$1020180C,CAH$021959.5C,BAC$092160C,PCG$03209C,V$1221340C,MA$0721380C,AEQ$1021985C,PFE$041929C,NFL$1020490C,DIS$1020117C,CYQ$092147C,ORQ$092192C,CRM$0721220C,KO$012154C,PRQ$0819245C,TMO$1221700C,ACN$0420265C,ABT$1221142C,PEP$0420112C,CVX$042030C,DH1$0921310C,LLY$0420126C,PYP$0721350C,ABB$1221129C,CCQ$092025C,INQ$022159C,NKE$042080C,VZ$122061C,QAQ$102045C,WFC$011960C,MCD$012095C,IQU$1021557.5C,MRK$072073.5C,TXN$042095C,PX$0519240C,MS$012034C,AMD$072165C,FPL$062180C,T$012037.0C,LOW$1221110C,C$072162.0C,HN3$0319155C,UNP$1221285C,SHQ$092041C,MD1$042093C,PM$0720100C,UPS$0721290C,ANQ$102066.5C,BLK$0421730C,GS$0721340C,SQX$122175C,AXP$042045C,FDX$1020360C,BMY$051946C,CVS$051961C,IBM$0721148C,AMT$1221400C,AMQ$0420300C,AXQ$1020715C,PLD$0321100C,MOD$0321122C,TGT$042099C,CAT$1020142C,GMU$051943C,LMQ$0421310C,MMM$0720110C,ADI$042099C,AD1$1221245C,COP$072036C,F$092117.0C,LMT$0819380C,MU$042039C,SDQ$0419145C,EL$0921230C,GDQ$051959C,MMC$0221155C,KFT$011924C,PNC$0619142C,XOM$072065C,BA$1021380C,CME$0720140C,CI$0819147C,CCI$051995C,CSX$072150C,BDX$0419200C,CL$092182C,FIS$0621105C,AQV$0519110C,AOC$0419135C,USB$011950C,ACE$0621115C,FQV$0921185C,COF$1221190C,FCX$032124C
MSQ$0721295C,TSL$0519215C,FB$0421415C,UVA$1020860C,JPM$0721120C,JNJ$0420150C,HD$1020185C,CAH$031932.5C,BAC$041920C,PCG$112010C,V$1221350C,MA$0721385C,AEQ$0421215C,PFE$041930C,NFL$1020495C,DIS$1020118C,CYQ$092148C,ORQ$092193C,CRM$0721222.5C,KO$012155C,PRQ$0819250C,TMO$1221710C,ACN$0420270C,ABT$1221145C,PEP$0420113C,CVX$042035C,DH1$0921320C,LLY$0420127C,PYP$0721355C,ABB$1221130C,CCQ$092030C,INQ$022162C,NKE$042081C,VZ$122062C,QAQ$102050C,WFC$011965C,MCD$0720100C,IQU$1021577.5C,MRK$072074C,TXN$042096C,PX$0921145C,MS$012035C,AMD$072170C,FPL$062185C,T$012037.5C,LOW$1221115C,C$072162.5C,HN3$0319170C,UNP$1221290C,SHQ$092042C,MD1$042094C,PM$072040C,UPS$0721300C,ANQ$042046.5C,BLK$0421735C,GS$0721345C,SQX$122180C,AXP$042050C,FDX$102050C,BMY$051947C,CVS$051962C,IBM$0721149C,AMT$0120100C,AMQ$0420305C,AXQ$1020720C,PLD$0321105C,MOD$0321123C,TGT$1221115C,CAT$1020143C,GMU$051944C,LMQ$0421315C,MMM$0720115C,ADI$1221100C,AD1$1221250C,COP$072037C,F$092117.5C,LMT$0819385C,MU$042040C,SDQ$0419150C,EL$0921240C,GDQ$051960C,MMC$0221160C,KFT$011925C,PNC$0619150C,XOM$072070C,BA$0421100C,CME$0720145C,CI$0819148C,CCI$0921115C,CSX$072155C,BDX$0419210C,CL$092183C,FIS$0621110C,AQV$0519115C,AOC$0419140C,USB$011951C,ACE$0621120C,FQV$092155C,COF$1221195C,FCX$032127C
MSQ$0721300C,TSL$0519220C,FB$0421420C,UVA$0420105C,JPM$0721124C,JNJ$0420155C,HD$1020190C,CAH$031937.5C,BAC$041921C,PCG$112011C,V$1221360C,MA$0721390C,AEQ$0421220C,PFE$041931C,NFL$1020500C,DIS$1020119C,CYQ$092149C,ORQ$092194C,CRM$0721225C,KO$012156C,PRQ$0819255C,TMO$1221720C,ACN$0420275C,ABT$1221150C,PEP$0420114C,CVX$042040C,DH1$0921330C,LLY$0420128C,PYP$0721360C,ABB$1221131C,CCQ$092035C,INQ$022163C,NKE$042082C,VZ$122063C,QAQ$102055C,WFC$011970C,MCD$0720105C,IQU$0421357.5C,MRK$072074.5C,TXN$042097C,PX$0921150C,MS$012036C,AMD$072174C,FPL$062190C,T$012038.0C,LOW$1221120C,C$072163.0C,HN3$0319175C,UNP$1221295C,SHQ$092044C,MD1$042095C,PM$072045C,UPS$0721310C,ANQ$042047.5C,BLK$0421740C,GS$0721350C,SQX$122185C,AXP$042055C,FDX$102055C,BMY$051948C,CVS$051963C,IBM$0721150C,AMT$0120105C,AMQ$042095C,AXQ$1020725C,PLD$0321110C,MOD$0321124C,TGT$1221120C,CAT$1020144C,GMU$051945C,LMQ$0421320C,MMM$0720120C,ADI$1221105C,AD1$1221255C,COP$072038C,F$092118.0C,LMT$0819390C,MU$042041C,SDQ$0419155C,EL$0921250C,GDQ$051961C,MMC$0221165C,KFT$011926C,PNC$0619152.5C,XOM$072075C,BA$0421105C,CME$0720150C,CI$0819149C,CCI$0921120C,CSX$072160C,BDX$0419215C,CL$092184C,FIS$0621115C,AQV$0519120C,AOC$0419145C,USB$011952C,ACE$0621125C,FQV$092160C,COF$1221200C,FCX$032128C
MSQ$0721305C,TSL$0519225C,FB$0819100C,UVA$0420110C,JPM$0721125C,JNJ$0420160C,HD$1020195C,CAH$031941.5C,BAC$041922C,PCG$112014C,V$1221370C,MA$0721395C,AEQ$0421225C,PFE$041932C,NFL$1020505C,DIS$1020120C,CYQ$092150C,ORQ$092195C,CRM$0721227.5C,KO$012157C,PRQ$0819260C,TMO$1221730C,ACN$0420280C,ABT$1221155C,PEP$0420115C,CVX$042045C,DH1$0921340C,LLY$0420129C,PYP$0721370C,ABB$1221135C,CCQ$092036C,INQ$022165C,NKE$042083C,VZ$122064C,QAQ$102060C,WFC$011975C,MCD$0720110C,IQU$0421372.5C,MRK$072075C,TXN$042098C,PX$0921155C,MS$012037C,AMD$072175C,FPL$062195C,T$012038.5C,LOW$1221125C,C$072164.0C,HN3$031995C,UNP$1221300C,SHQ$092045C,MD1$042096C,PM$072050C,UPS$0721320C,ANQ$042048.5C,BLK$0421745C,GS$0721355C,SQX$122190C,AXP$042060C,FDX$102060C,BMY$051949C,CVS$051964C,IBM$0721152.5C,AMT$0120110C,AMQ$1221105C,AXQ$1020730C,PLD$0321115C,MOD$0321125C,TGT$1221125C,CAT$1020145C,GMU$051946C,LMQ$0421325C,MMM$0720125C,ADI$1221110C,AD1$1221260C,COP$072039C,F$092119.0C,LMT$0819395C,MU$042042C,SDQ$0419160C,EL$0921260C,GDQ$051962C,MMC$022160C,KFT$011927C,PNC$0619165C,XOM$072080C,BA$0421110C,CME$0720155C,CI$0819155C,CCI$0921125C,CSX$072165C,BDX$0419220C,CL$092185C,FIS$0621120C,AQV$051925C,AOC$0419150C,USB$011953C,ACE$0621130C,FQV$092165C,COF$1221210C,FCX$032129C
MSQ$0721310C,TSL$0519230C,FB$0819105C,UVA$0420115C,JPM$0721126C,JNJ$0420165C,HD$1020200C,CAH$031942.5C,BAC$041923C,PCG$112015C,V$0120100C,MA$0721400C,AEQ$0421230C,PFE$041933C,NFL$1020510C,DIS$1020121C,CYQ$092151C,ORQ$092196C,CRM$0721230C,KO$012158C,PRQ$0819265C,TMO$1221740C,ACN$0420285C,ABT$1221160C,PEP$0420116C,CVX$042050C,DH1$0921350C,LLY$0420130C,PYP$0721380C,ABB$1221140C,CCQ$092037C,INQ$022166C,NKE$042084C,VZ$122065C,QAQ$102065C,WFC$011980C,MCD$0720115C,IQU$0421392.5C,MRK$072075.5C,TXN$042099C,PX$0921160C,MS$012038C,AMD$072176C,FPL$1019150C,T$012039.0C,LOW$1221130C,C$072165.0C,HN3$0520100C,UNP$1221305C,SHQ$092046C,MD1$042097C,PM$072055C,UPS$072180C,ANQ$042052.5C,BLK$0421750C,GS$0721360C,SQX$122195C,AXP$042065C,FDX$102065C,BMY$051950C,CVS$051965C,IBM$0721155C,AMT$0120115C,AMQ$1221110C,AXQ$1020735C,PLD$0321120C,MOD$0321126C,TGT$1221130C,CAT$1020146C,GMU$051947C,LMQ$0421330C,MMM$0720130C,ADI$1221115C,AD1$1221265C,COP$072040C,F$09212.00C,LMT$0819400C,MU$042043C,SDQ$0419165C,EL$0921270C,GDQ$051963C,MMC$022165C,KFT$011928C,PNC$0619170C,XOM$072085C,BA$0421115C,CME$0720160C,CI$0819160C,CCI$0921130C,CSX$072170C,BDX$0419225C,CL$092186C,FIS$0621125C,AQV$051930C,AOC$0419155C,USB$011954C,ACE$0621135C,FQV$092170C,COF$1221220C,FCX$032130C
MSQ$0721315C,TSL$0519235C,FB$0819110C,UVA$0420120C,JPM$0721127C,JNJ$0420170C,HD$1020205C,CAH$031943.5C,BAC$041924C,PCG$112017C,V$0120105C,MA$0721405C,AEQ$0421235C,PFE$041934C,NFL$1020515C,DIS$1020122C,CYQ$092152C,ORQ$092197C,CRM$0721232.5C,KO$012159C,PRQ$0819270C,TMO$1221750C,ACN$0420290C,ABT$1221165C,PEP$0420117C,CVX$042054C,DH1$0921360C,LLY$0420131C,PYP$0721390C,ABB$1221145C,CCQ$092038C,INQ$022167C,NKE$042085C,VZ$122066C,QAQ$102070C,WFC$011985C,MCD$0720120C,IQU$0421432.5C,MRK$072076C,TXN$1221100C,PX$0921165C,MS$012039C,AMD$072177C,FPL$1019155C,T$012039.5C,LOW$1221135C,C$072166.0C,HN3$0520110C,UNP$1221310C,SHQ$092048C,MD1$042098C,PM$072060C,UPS$072185C,ANQ$042056.5C,BLK$0421755C,GS$0721365C,SQX$122199C,AXP$042067C,FDX$102070C,BMY$051951C,CVS$051970C,IBM$0721157.5C,AMT$0120120C,AMQ$1221115C,AXQ$1020740C,PLD$0321125C,MOD$0321127C,TGT$1221135C,CAT$1020147C,GMU$092125C,LMQ$0421335C,MMM$0720135C,ADI$1221120C,AD1$1221270C,COP$072041C,F$092120.0C,LMT$0819405C,MU$042044C,SDQ$0419170C,EL$0921280C,GDQ$051964C,MMC$022170C,KFT$011929C,PNC$061990C,XOM$072090C,BA$0421120C,CME$0720165C,CI$0819165C,CCI$0921135C,CSX$072175C,BDX$0419230C,CL$092187C,FIS$0621130C,AQV$051935C,AOC$0419160C,USB$011955C,ACE$0621140C,FQV$092175C,COF$1221230C,FCX$032132C
MSQ$0721320C,TSL$0519240C,FB$0819115C,UVA$0420125C,JPM$0721128C,JNJ$0420175C,HD$1020210C,CAH$031944.5C,BAC$041925C,PCG$112018C,V$0120110C,MA$0721410C,AEQ$0421240C,PFE$041935C,NFL$1020520C,DIS$1020123C,CYQ$092153C,ORQ$092198C,CRM$0721235C,KO$012160C,PRQ$0819275C,TMO$1221760C,ACN$0420295C,ABT$1221170C,PEP$0420118C,CVX$042055C,DH1$0921370C,LLY$0420132C,PYP$0721400C,ABB$1221150C,CCQ$092039C,INQ$022171C,NKE$042086C,VZ$122067C,QAQ$102075C,WFC$062115C,MCD$0720125C,IQU$0819237.5C,MRK$072076.5C,TXN$1221105C,PX$0921170C,MS$012040C,AMD$072178C,FPL$1019160C,T$012040.0C,LOW$1221140C,C$072166.5C,HN3$0520115C,UNP$1221315C,SHQ$092050C,MD1$042099C,PM$072063C,UPS$072190C,ANQ$042057.5C,BLK$0421760C,GS$0721370C,SQX$0120100C,AXP$042068C,FDX$102075C,BMY$051952C,CVS$051975C,IBM$0721160C,AMT$0120125C,AMQ$1221120C,AXQ$1020745C,PLD$0321130C,MOD$0321128C,TGT$1221140C,CAT$1020148C,GMU$092130C,LMQ$0421340C,MMM$0720140C,ADI$1221125C,AD1$1221275C,COP$072042C,F$092121.0C,LMT$0819410C,MU$042045C,SDQ$0419175C,EL$0921290C,GDQ$051965C,MMC$022175C,KFT$011930C,PNC$061995C,XOM$072095C,BA$0421125C,CME$0720170C,CI$0819170C,CCI$0921140C,CSX$072180C,BDX$0419235C,CL$092188C,FIS$0621135C,AQV$051936C,AOC$0419165C,USB$011956C,ACE$0621145C,FQV$092180C,COF$1221240C,FCX$032133C
MSQ$0721325C,TSL$0519245C,FB$0819120C,UVA$0420130C,JPM$0721129C,JNJ$0420180C,HD$1020215C,CAH$031945.5C,BAC$041926C,PCG$11202C,V$0120115C,MA$0721415C,AEQ$0421245C,PFE$041936C,NFL$1020525C,DIS$1020124C,CYQ$092154C,ORQ$092199C,CRM$0721237.5C,KO$012161C,PRQ$0819280C,TMO$1221770C,ACN$0420300C,ABT$1221175C,PEP$0420119C,CVX$042056C,DH1$0921380C,LLY$0420133C,PYP$0721410C,ABB$1221155C,CCQ$092040C,INQ$022174C,NKE$042087C,VZ$122068C,QAQ$102080C,WFC$062120C,MCD$0720130C,IQU$0819252.5C,MRK$072077C,TXN$1221110C,PX$0921175C,MS$012041C,AMD$072179C,FPL$1019165C,T$012040.5C,LOW$1221145C,C$072167.0C,HN3$0520120C,UNP$0120100C,SHQ$092060C,MD1$1221100C,PM$072064C,UPS$072195C,ANQ$042067.5C,BLK$0421765C,GS$0721375C,SQX$0120101C,AXP$042069C,FDX$102080C,BMY$051953C,CVS$051980C,IBM$0721162.5C,AMT$0120130C,AMQ$1221125C,AXQ$1020750C,PLD$0321135C,MOD$0321129C,TGT$1221145C,CAT$1020149C,GMU$092135C,LMQ$0421345C,MMM$0720141C,ADI$1221130C,AD1$1221280C,COP$072043C,F$092122.0C,LMT$0819415C,MU$042046C,SDQ$0419180C,EL$0921300C,GDQ$051966C,MMC$022180C,KFT$011931C,PNC$0521135C,XOM$0519100C,BA$0421130C,CME$0720175C,CI$0819175C,CCI$0921145C,CSX$072185C,BDX$0419240C,CL$092189C,FIS$0621140C,AQV$051937C,AOC$0419170C,USB$011960C,ACE$0621150C,FQV$092185C,COF$1221250C,FCX$032136C
MSQ$0721330C,TSL$0519250C,FB$0819125C,UVA$0420135C,JPM$0721130C,JNJ$042060C,HD$1020220C,CAH$031946.5C,BAC$041927C,PCG$112020C,V$0120120C,MA$0721420C,AEQ$0421250C,PFE$041937C,NFL$1020530C,DIS$1020125C,CYQ$092155C,ORQ$041935C,CRM$0721240C,KO$012165C,PRQ$0819285C,TMO$1221780C,ACN$0420305C,ABT$122160C,PEP$0420120C,CVX$042057C,DH1$0921390C,LLY$0420134C,PYP$0721420C,ABB$1221160C,CCQ$092041C,INQ$022175C,NKE$042088C,VZ$122070C,QAQ$102085C,WFC$062125C,MCD$0720135C,IQU$0819267.5C,MRK$072077.5C,TXN$1221115C,PX$0921180C,MS$012042C,AMD$072180C,FPL$1019170C,T$012041.0C,LOW$1221150C,C$072167.5C,HN3$0520125C,UNP$0120105C,SHQ$092065C,MD1$1221101C,PM$072065C,UPS$1020100C,ANQ$1221157.5C,BLK$0421770C,GS$0721380C,SQX$0120102C,AXP$042070C,FDX$102085C,BMY$051954C,CVS$051985C,IBM$0721165C,AMT$0120135C,AMQ$1221130C,AXQ$1020755C,PLD$032155C,MOD$0321130C,TGT$1221150C,CAT$1020150C,GMU$092139C,LMQ$0421350C,MMM$0720142C,ADI$1221135C,AD1$1221290C,COP$072044C,F$092123.0C,LMT$0819420C,MU$042047C,SDQ$0419185C,EL$0921310C,GDQ$051967C,MMC$022185C,KFT$011932C,PNC$0521145C,XOM$0519105C,BA$0421135C,CME$0720180C,CI$0819180C,CCI$0921155C,CSX$072187.5C,BDX$0419245C,CL$092190C,FIS$0621145C,AQV$051938C,AOC$0419175C,USB$011965C,ACE$0621155C,FQV$092190C,COF$1221260C,FCX$032137C
MSQ$0721335C,TSL$0519255C,FB$0819130C,UVA$0420140C,JPM$0721131C,JNJ$042065C,HD$1020225C,CAH$031947.5C,BAC$041928C,PCG$11203C,V$0120125C,MA$0721425C,AEQ$0421255C,PFE$041938C,NFL$1020535C,DIS$1020126C,CYQ$092156C,ORQ$041936C,CRM$0721242.5C,KO$012170C,PRQ$0819290C,TMO$1221790C,ACN$0420310C,ABT$122165C,PEP$0420121C,CVX$042058C,DH1$0921400C,LLY$0420135C,PYP$0721430C,ABB$1221165C,CCQ$092042C,INQ$022180C,NKE$042089C,VZ$122075C,QAQ$102090C,WFC$062130C,MCD$0720140C,IQU$0819277.5C,MRK$072078C,TXN$1221120C,PX$0921185C,MS$012043C,AMD$072181C,FPL$1019175C,T$012041.5C,LOW$1221155C,C$072168.0C,HN3$0520128C,UNP$0120110C,SHQ$022130C,MD1$1221102C,PM$072066C,UPS$1020105C,ANQ$1221162.5C,BLK$0421775C,GS$0721385C,SQX$0120103C,AXP$042071C,FDX$102090C,BMY$051955C,CVS$051990C,IBM$0721167.5C,AMT$0120140C,AMQ$1221135C,AXQ$1020760C,PLD$032160C,MOD$0321131C,TGT$1221155C,CAT$1020155C,GMU$092140C,LMQ$0421355C,MMM$0720143C,ADI$1221140C,AD1$1221300C,COP$072045C,F$092124.0C,LMT$0819425C,MU$042048C,SDQ$0419190C,EL$0921320C,GDQ$051968C,MMC$022190C,KFT$011933C,PNC$0521155C,XOM$0519110C,BA$0421140C,CME$0720185C,CI$0819185C,CCI$0921170C,CSX$072190C,BDX$0419260C,CL$092195C,FIS$0621150C,AQV$051939C,AOC$0419180C,USB$011970C,ACE$0621160C,FQV$092195C,COF$122170C,FCX$032138C
MSQ$0721340C,TSL$0519260C,FB$0819131C,UVA$0420145C,JPM$0721132C,JNJ$042070C,HD$1020230C,CAH$031948.5C,BAC$041929C,PCG$11205C,V$0120130C,MA$0721430C,AEQ$0421260C,PFE$041939C,NFL$1020540C,DIS$1020127C,CYQ$092157C,ORQ$041937C,CRM$0721245C,KO$031932C,PRQ$0819295C,TMO$1221800C,ACN$0420315C,ABT$122170C,PEP$0420122C,CVX$042059C,DH1$0419100C,LLY$0420136C,PYP$0721440C,ABB$1221170C,CCQ$092043C,INQ$071928C,NKE$042090C,VZ$122080C,QAQ$102095C,WFC$062135C,MCD$0720145C,IQU$0819292.5C,MRK$072078.5C,TXN$1221125C,PX$0921190C,MS$012044C,AMD$072182C,FPL$1019180C,T$012042.0C,LOW$1221160C,C$072168.5C,HN3$0520129C,UNP$0120115C,SHQ$022140C,MD1$1221103C,PM$072067C,UPS$1020110C,ANQ$012055.5C,BLK$0421780C,GS$0721390C,SQX$0120105C,AXP$042072C,FDX$102095C,BMY$051960C,CVS$051995C,IBM$0721170C,AMT$0120145C,AMQ$1221140C,AXQ$1020765C,PLD$032165C,MOD$0321132C,TGT$1221160C,CAT$1020160C,GMU$092141C,LMQ$0421360C,MMM$0720144C,ADI$1221145C,AD1$0120100C,COP$072046C,F$092125.0C,LMT$0819430C,MU$042049C,SDQ$0419195C,EL$0921330C,GDQ$051969C,MMC$022195C,KFT$011934C,PNC$0521162.5C,XOM$0519115C,BA$0421145C,CME$0720190C,CI$0819190C,CCI$0921175C,CSX$072191C,BDX$0419265C,CL$041950C,FIS$0621155C,AQV$051940C,AOC$0419185C,USB$011975C,ACE$0621165C,FQV$0419100C,COF$122175C,FCX$032141C
MSQ$0721345C,TSL$0519265C,FB$0819132C,UVA$0420150C,JPM$0721133C,JNJ$042075C,HD$1020235C,CAH$031949.5C,BAC$041930C,PCG$11206C,V$0120135C,MA$0721435C,AEQ$0421265C,PFE$041940C,NFL$1020545C,DIS$1020128C,CYQ$092158C,ORQ$041938C,CRM$0721247.5C,KO$031933C,PRQ$0819300C,TMO$1221810C,ACN$042075C,ABT$122175C,PEP$0420123C,CVX$042060C,DH1$0419105C,LLY$0420137C,PYP$0721450C,ABB$1221175C,CCQ$092044C,INQ$071930C,NKE$042091C,VZ$122085C,QAQ$0420100C,WFC$062137C,MCD$0720150C,IQU$0721462.5C,MRK$072079C,TXN$1221130C,PX$0921195C,MS$012045C,AMD$072183C,FPL$1019185C,T$012042.5C,LOW$1221165C,C$072169.0C,HN3$0520130C,UNP$0120120C,SHQ$022145C,MD1$1221104C,PM$072068C,UPS$1020115C,ANQ$012056.5C,BLK$0421785C,GS$0721395C,SQX$0120110C,AXP$042073C,FDX$0420100C,BMY$051965C,CVS$0921100C,IBM$0721175C,AMT$0120150C,AMQ$1221145C,AXQ$1020770C,PLD$032170C,MOD$0321133C,TGT$1221165C,CAT$1020165C,GMU$092142C,LMQ$0421365C,MMM$0720145C,ADI$1221150C,AD1$0120105C,COP$072047C,F$09213.00C,LMT$0819435C,MU$042050C,SDQ$0419200C,EL$0921340C,GDQ$051970C,MMC$0719100C,KFT$011935C,PNC$0521167.5C,XOM$051950C,BA$0421150C,CME$0720195C,CI$0819195C,CCI$0921185C,CSX$072192C,BDX$0419275C,CL$041955C,FIS$0621160C,AQV$051941C,AOC$041995C,USB$011980C,ACE$0621170C,FQV$0419105C,COF$122180C,FCX$032142C
MSQ$0721350C,TSL$0519270C,FB$0819133C,UVA$0420155C,JPM$0721134C,JNJ$042080C,HD$1020240C,CAH$031950.5C,BAC$041931C,PCG$11209C,V$0120140C,MA$0721440C,AEQ$0421270C,PFE$041941C,NFL$1020550C,DIS$1020129C,CYQ$092159C,ORQ$041939C,CRM$0721250C,KO$031934C,PRQ$0819305C,TMO$1221820C,ACN$042080C,ABT$122180C,PEP$0420124C,CVX$042061C,DH1$0419110C,LLY$0420138C,PYP$1020100C,ABB$1221180C,CCQ$092045C,INQ$071931C,NKE$042092C,VZ$011923C,QAQ$0420105C,WFC$062138C,MCD$0720155C,IQU$0721467.5C,MRK$072079.5C,TXN$1221135C,PX$0921200C,MS$012046C,AMD$072184C,FPL$1019190C,T$012043.0C,LOW$1221170C,C$072169.5C,HN3$0520131C,UNP$0120125C,SHQ$022146C,MD1$1221105C,PM$072069C,UPS$1020120C,ANQ$012057.5C,BLK$0421790C,GS$0721400C,SQX$0120115C,AXP$042074C,FDX$0420103C,BMY$051970C,CVS$0921105C,IBM$0721180C,AMT$0120155C,AMQ$1221150C,AXQ$1020775C,PLD$032175C,MOD$0321134C,TGT$1221170C,CAT$1020170C,GMU$092143C,LMQ$0421370C,MMM$0720146C,ADI$1221155C,AD1$0120110C,COP$072048C,F$092130.0C,LMT$0819440C,MU$042051C,SDQ$0419210C,EL$0921350C,GDQ$051971C,MMC$0719105C,KFT$011936C,PNC$0521182.5C,XOM$051955C,BA$0421155C,CME$0720200C,CI$0819210C,CCI$0921190C,CSX$072192.5C,BDX$0419290C,CL$041958C,FIS$0621165C,AQV$051942C,AOC$1220100C,USB$062120C,ACE$0621175C,FQV$0419110C,COF$122185C,FCX$032143C
