#NAME?,15/12/2018,,#NAME?,15/01/2019,,#NAME?,15/02/2019,,#NAME?,15/03/2019,,#NAME?,15/04/2019,,#NAME?,15/05/2019,,#NAME?,15/06/2019,,#NAME?,15/07/2019,,#NAME?,15/08/2019,,#NAME?,15/09/2019,,#NAME?,15/10/2019,,#NAME?,15/11/2019,,#NAME?,15/12/2019,,#NAME?,15/01/2020,,#NAME?,15/02/2020,,#NAME?,15/03/2020,,#NAME?,15/04/2020,,#NAME?,15/05/2020,,#NAME?,15/06/2020,,#NAME?,15/07/2020,,#NAME?,15/08/2020,,#NAME?,15/09/2020,,#NAME?,15/10/2020,,#NAME?,15/11/2020,,#NAME?,15/12/2020,,#NAME?,15/01/2021,,#NAME?,17/02/2021,,#NAME?,15/03/2021,,#NAME?,15/04/2021,,#NAME?,15/05/2021,,#NAME?,15/06/2021,,#NAME?,15/07/2021,,#NAME?,15/08/2021,,#NAME?,15/09/2021,,#NAME?,15/10/2021,,#NAME?,15/11/2021,
Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE,Type,IMPLIED VOL.,OPENING PRICE
SDQ$0119175C,0.2256,2.9,QX1$021935C,0.3556,0.14,JNJ$0319126C,,,JNJ$0419124C,,,BAC$051931C,0.2516,0.59,JPM$0619112C,,,QX1$071938C,0.2772,2.07,WLP$0819265C,,,FCX$09198.5C,,,FQV$101980C,0.511,23.1,QX1$111934C,0.3999,5.19,ACE$1219165C,0.189,0.3,F$01208.00C,0.3179,1.29,AOC$0220220C,0.1637,1.13,AQV$032056C,,,AQV$042057C,,,CME$0520175C,0.4868,15.85,AD1$0620131C,,,BA$0720134C,,,KFT$082054C,,,PNC$0920100C,0.3964,11.6,XOM$102037C,,,AMQ$1120210C,0.3336,26.5,AXP$1220111C,,,PM$012179C,,,JNJ$0221150C,0.2598,11.28,KFT$032157C,,,MU$0421111C,,,MU$052159C,,,IBM$0621136C,,,BMY$072166C,,,FDX$0821250C,0.3114,46.55,FDX$0921230C,0.3589,47.575,HN3$1021145C,0.7611,77.075,HN3$1121180C,0.3004,40.575,HN3$1221175C,0.3542,47.4
EL$0119155C,0.2649,0.3,MSQ$0219112C,,,HD$0319180C,0.2741,11.2,HD$0419195C,0.1358,0.24,PG$0519125C,0.1642,,JNJ$0619124C,,,MSQ$0719132C,,,BAC$081930C,0.2162,0.59,QX1$091941C,0.2631,0.78,COF$101970C,0.3759,23.775,MSQ$1119112C,,,COF$1219111C,,,LMT$0120330C,0.1761,55.9,USB$022057C,,,AOC$0320175C,0.1735,60.8,AOC$0420175C,0.7212,17,CI$0520150C,0.7861,36.6,COP$062040C,0.5993,3.05,CME$0720165C,0.4236,14.2,PNC$0820106C,,,XOM$092038C,,,BA$1020136C,,,AXQ$1120335C,1.192,407.15,FDX$1220255C,,,UPS$0121155C,0.3234,14.04,HD$0221245C,0.3002,28.15,PNC$0321135C,0.485,33.1,SDQ$0421250C,0.2295,3.1,SDQ$0521240C,0.2609,19.2,AMT$0621240C,0.2126,10.1,CVS$072180C,0.2319,5.34,BMY$082167C,,,BMY$092168C,,,UNP$1021205C,0.1993,3.91,UNP$1121215C,0.2374,11.1,UNP$1221220C,0.2267,22.67
GDQ$011964C,,,FB$0219130C,0.4282,20,WLP$0319250C,0.3664,60.75,WLP$0419260C,0.1881,45.55,V$0519141C,,,HD$0619195C,0.1889,3.64,FB$0719195C,0.2697,1.49,PG$0819123C,,,MSQ$0919124C,,,FCX$101912.5C,,,FB$1119190C,0.3221,4.4,FCX$121915.5C,,,MU$012048C,0.4499,4.75,ACE$0220165C,0.1586,0.15,USB$032036C,,,USB$042037C,,,CCI$0520150C,0.5018,16.6,LMT$0620300C,0.2982,59.8,CI$0720160C,0.5366,29.5,XOM$082044C,,,BA$0920118C,,,CME$1020165C,0.263,6.84,PLD$112085C,0.5059,20.2,BMY$122060C,0.2592,3.82,ANQ$012193.5C,,,WLP$0221285C,,,XOM$032153C,,,EL$0421310C,0.2558,2.5,EL$0521290C,0.2935,21.74,AMQ$0621215C,0.3612,37.35,IBM$0721135C,0.2657,14.86,CVS$082178C,,,CVS$092178C,,,SHQ$102176C,,,SHQ$112179C,,,SHQ$122175C,0.2865,
MMC$011995C,0.3666,0.6,JPM$0219112C,,,BAC$031932C,0.2176,0.03,BAC$041932C,0.1946,0.07,MA$0519225C,0.2596,16.1,WLP$0619220C,0.3601,40.125,JPM$0719112C,,,V$0819190C,0.1647,0.8,FB$0919185C,0.307,5.65,QX1$101937C,0.2948,3.89,JPM$1119119C,,,QX1$121939C,0.1948,0.04,SDQ$0120190C,0.202,13.8,FQV$0220155C,0.3592,0.05,ACE$0320155C,0.1398,10.05,ACE$0420155C,0.5197,0.6,BDX$0520260C,0.339,5,MU$062044C,0.5698,3.25,CCI$0720165C,0.378,7.4,BA$0820142C,,,CME$0920165C,0.2592,8.3,CI$1020160C,0.4449,10.55,TGT$1120145C,0.3887,18.25,CVS$122066C,,,BLK$0121590C,0.3397,109.4,BAC$022134C,0.3277,1.11,BA$0321230C,0.4366,5.95,GDQ$042164C,,,GDQ$052166C,,,PLD$0621155C,0.5059,0.2,AMT$0721250C,0.2499,21,IBM$0821134C,,,IBM$0921134C,,,MD1$1021122C,,,MD1$1121117C,,,MD1$1221111C,,
KFT$011939C,0.3133,4.75,JNJ$0219122C,,,PG$031982.5C,0.2959,16.175,PG$041977.5C,0.3133,25.125,AEQ$0519240C,0.2226,33.025,BAC$061931C,0.223,0.12,JNJ$0719136C,,,MA$0819255C,0.2654,26.1,JPM$0919112C,,,MSQ$1019125C,0.2175,13.3,JNJ$1119121C,,,MSQ$1219135C,0.1659,14.1,EL$0120200C,0.183,5.3,COF$0220111C,,,FQV$032085C,0.4662,37.3,FQV$042090C,0.6837,16.6,CL$052070C,0.3894,4.1,SDQ$0620180C,0.3706,8.1,BDX$0720275C,,,CME$0820170C,0.3323,5.6,CI$0920145C,0.4916,39.075,CCI$1020165C,0.2656,3.3,CAT$1120148C,,,IBM$1220113C,,,GS$0121255C,0.2948,2.88,PG$0221131C,,,CME$0321195C,0.2665,3.4,MMC$0421155C,0.6071,0.75,MMC$0521155C,0.8562,5,TGT$0621210C,0.2981,8.25,AMQ$0721220C,0.2317,20.6,AMT$0821250C,0.2859,31.64,AMT$0921270C,0.1833,14,PM$1021111C,,,PM$1121111C,,,PM$122170C,0.4457,25.4
PNC$0119137C,,,HD$0219190C,0.1741,0.6,V$0319134C,,,V$0419140C,0.2579,15.2,PFE$051945C,0.1648,0.06,PG$0619127C,,,HD$0719205C,0.1804,3.53,AEQ$0819260C,0.3253,49.675,JNJ$0919120C,0.3113,11.5,FB$1019185C,0.2361,7.04,HD$1119215C,0.2159,21.25,FB$1219190C,0.2261,8.3,GDQ$012064C,,,FCX$022012.5C,,,COF$032059C,,,COF$042048C,,,FIS$0520155C,1.083,4.9,EL$0620180C,0.3084,2.1,CL$072071C,,,CI$0820160C,0.4708,26.39,CCI$0920160C,0.2591,7.6,BDX$1020225C,,,GMU$112038C,0.4696,0.22,AMT$1220200C,0.3745,43.6,SQX$0121111C,,,V$0221200C,0.2642,8.4,CI$0321190C,0.3335,19.5,KFT$042158C,,,KFT$052160C,0.1808,0.7,CAT$0621200C,0.3893,42.875,PLD$0721155C,0.7371,2.15,AMQ$0821205C,0.3221,41.875,AMQ$0921200C,0.3619,30.05,UPS$1021172.5C,,,UPS$1121182.5C,,,UPS$1221187.5C,,
XOM$011969C,,,WLP$0219245C,,,MA$0319215C,,,MA$0419220C,0.2053,12.15,NFL$0519295C,0.4846,55.55,V$0619155C,0.2068,7,WLP$0719250C,0.3269,34.88,PFE$081942C,0.2004,1.16,HD$0919215C,0.2635,2.35,JPM$1019112C,,,WLP$1119240C,0.3123,8.75,JPM$1219122C,,,MMC$012090C,0.2459,20.7,QX1$022039C,0.2675,0.21,QX1$032038C,0.2237,0.77,QX1$042035C,0.7627,2.775,AQV$052066C,,,GDQ$062074C,,,FIS$0720155C,0.3858,1.26,CCI$0820165C,0.3347,9.9,BDX$0920215C,,,CL$102075C,0.2651,3.15,LMQ$1120335C,0.4947,47.95,AMQ$1220205C,0.336,32.725,AXP$0121116C,,,MA$0221285C,0.3665,44.2,CCI$0321160C,0.2499,5.7,PNC$0421115C,0.4203,63.45,PNC$0521215C,,,GMU$062151C,,,TGT$0721220C,0.2026,13.27,PLD$0821155C,0.3102,0.1,PLD$0921155C,0.3087,0.25,ANQ$1021165C,0.2916,0.155,ANQ$1121110C,0.5217,22.7,ANQ$1221100C,0.7312,56.375
BA$0119285C,0.4083,38.225,BAC$021931C,0.2661,0.02,AEQ$0319230C,0.3595,30.3,AEQ$0419240C,0.2956,20.33,DIS$0519121C,,,MA$0619230C,0.2687,18.55,BAC$071933C,0.2585,0.01,NFL$0819255C,0.4289,112.15,WLP$0919215C,,,JNJ$1019120C,0.2183,11.35,BAC$111934C,0.2618,0.03,JNJ$1219126C,,,KFT$012054C,,,MSQ$0220180C,0.1949,0.26,MSQ$0320128C,,,MSQ$0420140C,0.6247,15.5,AOC$0520180C,0.4675,12,MMC$062085C,0.5657,20.45,AQV$072072C,,,BDX$0820260C,0.3424,14.35,CL$092076C,,,FIS$1020155C,0.2856,1.85,MMM$1120150C,0.3847,20.725,AXQ$1220300C,1.3195,454.2,FDX$0121220C,0.6654,67.65,AEQ$0221385C,0.4226,75.47,BDX$0321245C,,,XOM$042154C,,,XOM$052158C,,,LMQ$0621475C,0.5754,131.875,CAT$0721195C,0.2768,22.65,TGT$0821230C,0.2872,25.1,TGT$0921215C,,,BLK$10211110C,0.4734,4.3,BLK$11211090C,0.4128,4.3,BLK$12211110C,0.3873,4.7
CME$0119147C,,,PG$021982.5C,0.234,9.95,PFE$031940C,0.207,2.52,PFE$041938C,0.1963,3.825,CYQ$051947C,0.3121,9.7,AEQ$0619240C,0.3134,38.25,PG$071980C,0.7543,32.15,DIS$0819125C,0.3686,20.31,BAC$091932C,0.3131,0.02,HD$1019215C,0.2107,19.9,PG$1119123C,,,HD$1219200C,0.2045,36.9,PNC$0120115C,0.5212,44,TSL$0220165C,0.8718,353.6,TSL$032085C,1.4592,713.9,TSL$0420160C,1.2762,386,USB$052035C,0.548,1.8,KFT$062053C,,,AOC$0720190C,0.3596,4.5,CL$082073C,,,FIS$0920155C,0.2421,0.85,AQV$102077C,,,ADI$1120115C,0.437,12,PLD$122085C,0.4141,18.85,BMY$012162C,,,NFL$0221425C,0.4811,78.075,CL$032174C,,,BA$0421220C,0.5636,56.75,BA$0521195C,0.5052,56.95,MMM$0621190C,0.2514,14.7,GMU$072155C,0.3329,6.05,CAT$0821200C,0.2951,13.55,CAT$0921190C,0.3005,29.55,GS$1021320C,0.5201,83.425,GS$1121320C,0.4416,83.02,GS$1221310C,0.3582,94.775
CI$0119155C,0.413,50.375,V$0219124C,,,NFL$0319295C,0.4112,64.82,NFL$0419290C,0.5487,74.44,ORQ$051956C,,,PFE$061939C,0.2123,2.24,V$0719180C,0.1545,0.57,CYQ$081955C,0.253,3.75,PG$0919125C,0.1764,0.44,WLP$1019235C,,,V$1119180C,0.2044,3.79,WLP$1219265C,,,XOM$012068C,,,FB$0220200C,0.3176,22.7,FB$0320127C,,,FB$0420150C,0.6398,21,ACE$052085C,0.8054,32.45,PNC$0620127C,,,USB$072037C,,,FIS$0820155C,0.2902,0.77,AQV$092076C,,,AOC$1020195C,0.3329,10.8,AD1$1120142C,,,TGT$1220170C,0.3406,3.3,CVS$012168C,,,DIS$0221143C,,,FIS$0321155C,0.3287,0.275,CME$0421190C,0.3441,21,CME$0521195C,0.2354,11.5,ADI$0621155C,0.2904,2.54,LMQ$0721455C,0.5938,189.275,GMU$082150C,0.3805,7.69,GMU$092149C,0.3432,5.92,SQX$1021111C,,,SQX$1121111C,,,SQX$1221111C,,
CCI$011975C,0.8274,40.2,MA$0219205C,,,DIS$0319112C,,,DIS$0419112C,,,CRM$0519133C,,,NFL$0619285C,0.4688,72.125,MA$0719245C,0.2405,18.25,ORQ$081955C,0.1889,4.78,V$0919180C,0.2395,2.93,BAC$101932C,0.2204,0.2,MA$1119245C,0.2699,34.375,BAC$121935C,0.1726,0.11,BA$0120270C,0.3916,72.475,JPM$0220126C,,,JPM$0320112C,,,JPM$042065C,1.0407,32.4,FQV$052085C,0.6185,11.4,XOM$062046C,,,ACE$0720155C,0.3836,0.325,AQV$082060C,0.5866,19.55,AOC$0920190C,0.251,8.86,USB$102040C,0.3942,0.78,COP$112034C,0.4901,1.79,CAT$1220175C,0.3009,4.4,IBM$0121121C,,,CYQ$022143C,0.3223,2.89,AQV$0321111C,,,CI$0421175C,0.2907,70.125,CI$0521200C,0.297,54.45,AD1$0621185C,0.2219,11.3,MMM$0721190C,0.1863,12.4,LMQ$0821435C,0.5552,176.65,LMQ$0921455C,0.4301,126.35,AXP$1021170C,0.2425,1.2,AXP$1121175C,0.2537,4.7,AXP$1221165C,0.2897,19.57
BDX$0119225C,,,AEQ$0219230C,0.3194,15.4,CYQ$031947C,0.1981,2.1,CYQ$041949C,0.2058,4.1,CE1$051944C,0.2029,,DIS$0619125C,0.2593,9,AEQ$0719265C,0.3241,17.1,CRM$0819124C,,,MA$0919240C,0.3586,33.13,PG$1019130C,0.1449,0.23,AEQ$1119255C,0.3078,27.79,PG$1219121C,,,CME$0120190C,0.1408,14.75,JNJ$0220135C,0.22,12.56,JNJ$0320116C,,,JNJ$0420126C,,,COF$052055C,0.793,3.23,BA$0620136C,,,FQV$072085C,0.6393,16.85,AOC$0820185C,0.3562,18.7,USB$092039C,,,ACE$1020155C,0.5939,0.5,F$11209.5C,,,GMU$122039C,0.4923,2.52,AMT$0121200C,0.2925,18.2,ORQ$022165C,0.2229,1.47,AOC$0321210C,0.2535,20.1,CCI$0421150C,0.2831,11.7,CCI$0521165C,0.2402,14.06,COP$062151C,,,ADI$0721165C,0.2375,6.22,MMM$0821190C,0.2325,13.58,MMM$0921175C,0.2353,25.55,FDX$1021205C,,,FDX$1121220C,0.2472,12.3,FDX$1221215C,,
CL$011960C,0.2449,5.93,PFE$021946C,0.1775,0.1,ORQ$031947C,0.2467,4.925,ORQ$041948C,0.2173,5.34,PRQ$0519220C,0.2373,22.85,CYQ$061949C,0.2914,4,PFE$071939C,0.1999,3.85,KO$081941C,0.5418,11.425,AEQ$0919245C,0.4409,41,V$1019175C,0.2009,7.1,PFE$111937C,0.2026,0.55,V$1219185C,0.1468,1.75,CI$0120165C,0.2889,25.525,HD$0220220C,0.1617,6.3,HD$0320146C,,,HD$0420190C,0.7712,20.67,QX1$052039C,0.399,0.65,CME$0620170C,0.3793,14.65,COF$072062C,,,USB$082038C,,,ACE$0920155C,0.3431,0.3,FQV$1020111C,,,LMT$1120300C,0.2824,85.25,LMQ$1220380C,0.4402,53.27,AMQ$0121215C,0.3104,15.72,CRM$0221205C,,,USB$032151C,,,BDX$0421240C,0.2446,7,BDX$0521240C,0.2602,16.9,F$062115.5C,,,AD1$0721190C,0.19,10.25,ADI$0821170C,0.2515,2.9,ADI$0921170C,0.2735,5.2,BMY$102164C,,,BMY$112160C,0.2213,0.85,BMY$122156C,,
FIS$011980C,0.264,24.575,NFL$0219295C,0.6073,59.68,CRM$0319133C,,,CRM$0419141C,,,TMO$0519270C,0.2366,12.39,ORQ$061947C,0.3392,7.875,NFL$0719300C,0.4924,45.95,PRQ$0819250C,0.1863,30.62,PFE$091937C,0.2164,0.19,MA$1019245C,0.3181,32.925,NFL$1119255C,0.5258,35.08,MA$1219255C,0.2058,26.67,CCI$0120150C,0.1971,0.075,WLP$0220265C,,,WLP$0320240C,0.3717,58.55,WLP$0420245C,,,MSQ$0520180C,0.3965,3.7,CI$0620160C,0.4781,31.725,FCX$072014.5C,,,ACE$0820155C,0.3344,0.5,FQV$0920115C,0.3154,0.35,COF$102068C,,,MU$112051C,,,MMM$1220170C,0.233,3.75,AXQ$0121300C,0.5059,467.5,KO$022147C,,,ACE$0321170C,0.2651,2.65,CL$042174C,,,CL$052175C,0.2251,5.5,LMT$0621310C,0.4337,81.1,COP$072159C,,,AD1$0821195C,0.2127,13.4,AD1$0921190C,0.2575,25.5,CVS$102178C,,,CVS$112174C,,,CVS$122180C,0.3232,14.03
AQV$011947C,0.4529,2.82,DIS$0219112C,,,KO$031937C,0.2501,8.275,KO$041941C,0.1763,4.2,ACN$0519160C,0.1999,19.05,CRM$0619135C,0.43,22.75,DIS$0719136C,,,TMO$0819300C,0.22,4.6,NFL$0919255C,0.4607,40,AEQ$1019245C,0.3605,35.6,DIS$1119121C,,,AEQ$1219270C,0.2603,26.7,BDX$0120305C,,,BAC$022035C,0.1734,0.75,BAC$032028C,0.2751,6.875,BAC$042027C,0.5961,0.63,TSL$0520165C,1.9502,565.15,CCI$0620155C,0.3138,3.6,QX1$072049C,0.3859,1.55,FQV$0820111C,,,COF$092065C,0.4573,5.54,FCX$102015.5C,,,SDQ$1120220C,0.3383,10.05,ADI$1220128C,,,PLD$012185C,0.2766,13.3,TMO$0221460C,0.3291,48.3,FQV$0321111C,,,FIS$0421155C,0.268,1.5,FIS$0521155C,0.2399,3.27,MU$062170C,0.4515,9.3,F$072115.5C,,,COP$082148C,0.4079,9.55,COP$092156C,,,IBM$1021130C,0.2151,8,IBM$1121117C,,,IBM$1221115C,0.2062,6
AOC$0119155C,0.2039,4.1,CYQ$021945C,0.2722,0.85,PRQ$0319215C,,,PRQ$0419225C,,,ABT$051974C,,,KO$061939C,0.4011,10.2,CYQ$071950C,0.2614,6.1,ACN$0819185C,0.1673,11.97,DIS$0919124C,,,PFE$101937C,0.1913,1.25,CYQ$111951C,,,PFE$121936C,0.1744,1.22,CL$012067C,,,PG$0220131C,,,PG$0320118C,,,PG$0420145C,0.4221,0.3,FB$0520200C,0.4003,1.46,BDX$0620240C,0.3562,22.15,MSQ$0720200C,0.3195,2.49,COF$082062C,,,FCX$092016.5C,,,QX1$102048C,0.3937,4.95,EL$1120250C,0.2855,0.9,AD1$1220170C,0.2471,5.99,TGT$0121185C,0.27,1.2,ACN$0221230C,0.2876,27.34,COF$0321116C,,,AQV$042165C,0.6626,27.25,AQV$0521120C,0.4127,0.34,SDQ$0621250C,0.2272,8,LMT$0721305C,0.4497,85.35,F$082115.5C,,,F$092115.5C,,,AMT$1021240C,0.2603,57.15,AMT$1121225C,,,AMT$1221270C,0.2248,3.5
USB$011948C,,,ORQ$021946C,0.2351,2.45,TMO$0319270C,0.1451,0.225,TMO$0419290C,0.1535,0.1,PEP$0519118C,,,PRQ$0619230C,0.2644,15.81,ORQ$071957C,,,ABT$081981C,,,CYQ$091949C,,,NFL$1019245C,0.4802,51.675,ORQ$111956C,,,NFL$1219255C,0.3629,41.825,FIS$0120155C,0.2045,0.135,V$0220195C,0.2003,5.4,V$0320135C,0.4481,75.5,V$0420147C,,,JPM$052080C,0.6661,13.81,CL$062070C,0.2469,1.05,TSL$0720330C,1.334,660.975,FCX$082018.5C,,,QX1$092054C,,,MSQ$1020205C,0.3143,9.7,GDQ$112059C,,,COP$122039C,0.4527,0.53,CAT$0121170C,0.3334,13,ABT$0221112C,,,FCX$032143C,0.5973,0.29,AOC$0421220C,0.2586,9.92,AOC$0521240C,0.2231,4.6,EL$0621310C,0.2182,2.7,MU$072173C,,,LMT$0821290C,0.4144,88.6,LMT$0921280C,0.4857,78.55,AMQ$1021195C,0.2959,23.9,AMQ$1121190C,0.2868,19.1,AMQ$1221200C,0.2389,10.3
ACE$0119155C,0.3709,0.3,CRM$0219133C,,,ACN$0319145C,0.2316,14.8,ACN$0419180C,0.1944,0.39,CVX$0519112C,,,TMO$0619300C,0.2128,0.2,CRM$0719149C,,,PEP$0819120C,0.2095,14.5,ORQ$091947C,0.3671,6.175,DIS$1019116C,,,CRM$1119139C,,,DIS$1219133C,,,AQV$012059C,,,MA$0220280C,0.2703,33.72,MA$0320240C,0.341,100.65,MA$0420230C,0.7747,41.16,JNJ$0520143C,,,FIS$0620155C,0.5706,2.475,FB$0720220C,0.3892,15.85,QX1$082048C,0.5332,11.25,MSQ$0920200C,0.3279,13.25,TSL$1020316C,,,MMC$112075C,0.8297,39.9,F$12209.00C,0.3877,0.18,GMU$012144C,0.3936,1.14,PEP$0221132C,,,QX1$032156C,,,USB$042155C,0.3174,1.8,USB$052157C,,,GDQ$062166C,,,SDQ$0721250C,0.1962,9.4,MU$082161C,,,MU$092168C,,,AXQ$1021275C,,,AXQ$1121285C,0.4078,48.7,AXQ$1221275C,0.3205,78.3
COF$011974C,,,CE1$021942C,0.1713,3.4,ABT$031974C,,,ABT$041976C,,,DH1$0519160C,0.1877,0.1,ACN$0619185C,0.149,0.56,KO$071938C,0.3326,13.4,CVX$0819116C,,,CRM$0919136C,,,CYQ$101951C,,,KO$111939C,0.4463,14.5,CYQ$121949C,,,AOC$0120195C,0.1859,12.45,AEQ$0220305C,0.2672,39.475,AEQ$0320280C,0.3735,100.05,AEQ$0420280C,0.7202,43.82,HD$0520220C,0.4098,2.86,AQV$062069C,,,JPM$0720112C,,,MSQ$0820160C,0.3907,49.57,TSL$0920315C,,,FB$1020235C,0.5942,40.1,KFT$112056C,,,LMT$1220290C,0.3746,85.2,LMQ$0121415C,0.4604,83.025,CVX$022181C,,,MSQ$0321215C,0.3363,28.11,ACE$0421165C,0.2739,10.01,ACE$0521165C,0.2196,4,MMC$0621155C,0.6762,4.5,EL$0721330C,0.1852,1.3,SDQ$0821260C,0.2211,7.28,SDQ$0921280C,0.1977,1.55,PLD$1021155C,0.5373,1.8,PLD$1121155C,0.182,0.13,PLD$1221165C,0.2286,0.4
FCX$01198.5C,,,PRQ$0219205C,,,PEP$0319112C,,,PEP$0419114C,,,LLY$0519112C,,,ABT$061977C,,,PRQ$0719245C,0.1959,16.8,DH1$0819160C,0.2332,0.15,KO$091941C,0.6028,12.925,ORQ$101956C,,,PRQ$1119260C,0.2932,39.32,ORQ$121957C,,,USB$012060C,0.1532,1.5,PFE$022043C,0.1604,0.1,PFE$032033C,0.1608,3.575,PFE$042035C,0.4446,0.55,WLP$0520270C,0.5495,6.65,AOC$0620175C,0.3941,19.65,JNJ$0720135C,0.31,8.5,TSL$0820275C,2.4221,1273.1,FB$0920240C,0.3718,24.91,JPM$1020112C,,,PNC$1120145C,0.4688,0.2,MU$122062C,,,MMM$0121165C,0.2665,11.19,DH1$0221240C,0.2834,7.5,TSL$0321550C,0.8607,222.45,FQV$0421119C,,,FQV$0521118C,,,KFT$062163C,,,GDQ$072167C,,,EL$0821330C,0.2596,8.52,EL$0921330C,0.2653,8.6,TGT$1021215C,,,TGT$1121230C,0.284,16.29,TGT$1221210C,0.486,54.35
QX1$011931C,0.2709,0.29,TMO$0219250C,0.23,1.9,CVX$0319113C,,,CVX$0419113C,,,PYP$0519112C,,,PEP$0619122C,,,TMO$0719300C,0.182,1.85,LLY$0819112C,,,PRQ$0919270C,0.2293,8,CRM$1019128C,,,TMO$1119320C,0.2162,0.3,CRM$1219141C,,,ACE$0120155C,0.1374,2.25,NFL$0220310C,0.4086,37.94,NFL$0320280C,0.3567,100.85,NFL$0420340C,0.6791,26,BAC$052026C,0.5596,0.13,USB$062037C,,,HD$0720230C,0.3733,15.15,FB$0820230C,0.47,21.9,UVA$0920165C,1.204,297.325,JNJ$1020137C,,,XOM$112036C,,,SDQ$1220220C,0.3048,14.35,ADI$0121138C,,,LLY$0221195C,0.3098,4.1,FB$0321240C,0.3889,34.22,COF$0421123C,,,COF$0521129C,,,PNC$0621145C,0.5792,54.85,MMC$0721155C,0.1814,0.1,GDQ$082168C,,,GDQ$092171C,,,CAT$1021185C,0.3501,22.2,CAT$1121195C,0.2785,6.45,CAT$1221190C,0.3014,19.85
MSQ$0119112C,,,ACN$0219138C,,,DH1$031990C,0.3668,21.25,DH1$041985C,0.4096,43.65,ABB$051973C,,,CVX$0619115C,0.202,6.44,ACN$0719190C,0.2186,3.01,PYP$0819112C,,,TMO$0919310C,0.2371,0.25,KO$101947C,,,ACN$1119190C,0.1587,1.95,KO$121949C,,,FQV$0120155C,0.3878,0.05,DIS$0220128C,,,DIS$0320112C,,,DIS$0420112C,,,PG$052075C,0.8465,46.275,ACE$0620155C,0.8594,0.65,WLP$0720260C,0.4457,11.85,JPM$0820112C,,,JPM$0920112C,,,HD$1020250C,0.3481,34.7,BA$1120133C,,,EL$1220240C,0.2823,16,AD1$0121160C,0.311,14.9,PYP$0221255C,,,JPM$0321130C,0.2967,14.97,FCX$042137C,0.5587,2.77,FCX$052145C,0.5511,0.41,XOM$062157C,,,KFT$072164C,,,MMC$0821155C,0.2682,0.75,MMC$0921160C,0.1554,0.5,GMU$102149C,0.3527,3.08,GMU$112152C,,,GMU$122150C,0.6012,13.3
FB$0119124C,,,ABT$021970C,0.242,1.92,LLY$0319116C,,,LLY$0419116C,,,CCQ$051944C,,,DH1$061992.5C,0.7906,39.8,ABT$071981C,,,ABB$081966C,,,ACN$0919190C,0.2361,5,PRQ$1019255C,0.3102,38.3,ABT$111977C,,,PRQ$1219260C,0.2504,44.275,COF$0120111C,,,CYQ$022051C,,,CYQ$032037C,,,CYQ$042041C,,,V$0520180C,0.3977,3.95,FQV$062085C,0.5494,16.45,BAC$072028C,0.5648,0.63,JNJ$0820140C,0.2982,11.05,JNJ$0920143C,,,WLP$1020280C,0.2936,3.1,CME$1120143C,,,GDQ$122059C,,,COP$012141C,0.4911,3,ABB$0221112C,,,JNJ$0321149C,,,QX1$042160C,0.3401,0.93,QX1$052155C,0.4021,9.63,BA$0621220C,0.3584,13.45,PNC$0721145C,0.3476,44.3,KFT$082164C,,,KFT$092163C,,,LMQ$1021425C,0.4219,185.85,LMQ$1121465C,0.4122,101.325,LMQ$1221510C,0.4396,121.8
